C,participant,context,session,axis,n_outliers,pct_outliers
3.0,Ana,crowded,session_2,acc_x,4,0.024305766543112353
3.0,Ana,crowded,session_2,acc_y,1,0.006076441635778088
3.0,Ana,crowded,session_2,acc_z,0,0.0
3.0,Ana,crowded,session_2,gyro_x,0,0.0
3.0,Ana,crowded,session_2,gyro_y,0,0.0
3.0,Ana,crowded,session_2,gyro_z,9,0.0546879747220028
3.0,Asena,crowded,session_1,acc_x,0,0.0
3.0,Asena,crowded,session_1,acc_y,0,0.0
3.0,Asena,crowded,session_1,acc_z,0,0.0
3.0,Asena,crowded,session_1,gyro_x,0,0.0
3.0,Asena,crowded,session_1,gyro_y,0,0.0
3.0,Asena,crowded,session_1,gyro_z,0,0.0
3.0,Asena,crowded,session_2,acc_x,1,0.00557911180540058
3.0,Asena,crowded,session_2,acc_y,3,0.016737335416201742
3.0,Asena,crowded,session_2,acc_z,0,0.0
3.0,Asena,crowded,session_2,gyro_x,0,0.0
3.0,Asena,crowded,session_2,gyro_y,0,0.0
3.0,Asena,crowded,session_2,gyro_z,0,0.0
3.0,Darius,crowded,session_1,acc_x,8,0.04580852038479157
3.0,Darius,crowded,session_1,acc_y,19,0.10879523591387998
3.0,Darius,crowded,session_1,acc_z,15,0.0858909757214842
3.0,Darius,crowded,session_1,gyro_x,0,0.0
3.0,Darius,crowded,session_1,gyro_y,1,0.0057260650480989465
